3
999
999
4.310307e-02
10 01
T T
2.155153e-02 2.155153e-02 1.000000 0.029013 0.964567
7.085335e-01 2.155153e-02 2.155153e-02 1.000000 0.297712 0.732585
1.166968e-01 2.155153e-02 2.155153e-02 1.000000 0.059323 0.006476
8.894030e-01 2.155153e-02 2.155153e-02 1.000000 0.279716 0.098249
9.613739e-01 2.155153e-02 2.155153e-02 1.000000 0.168681 0.501030
5.917023e-02 2.155153e-02 2.155153e-02 1.000000 0.944662 0.361315
7.222256e-01 2.155153e-02 2.155153e-02 1.000000 0.466394 0.543740
7.702238e-01 2.155153e-02 2.155153e-02 1.000000 0.874111 0.824955
1.968397e-01 2.155153e-02 2.155153e-02 1.000000 0.465399 0.351383
1.682635e-01 2.155153e-02 2.155153e-02 1.000000 0.523042 0.157189
3.043970e-01 2.155153e-02 2.155153e-02 1.000000 0.210250 0.078029
3.902241e-01 2.155153e-02 2.155153e-02 1.000000 0.405938 0.569650
4.122877e-01 2.155153e-02 2.155153e-02 1.000000 0.216896 0.733240
3.483195e-01 2.155153e-02 2.155153e-02 1.000000 0.859955 0.507877
1.699299e-01 2.155153e-02 2.155153e-02 1.000000 0.794122 0.535499
8.608065e-01 2.155153e-02 2.155153e-02 1.000000 0.726751 0.983615
9.176866e-01 2.155153e-02 2.155153e-02 1.000000 0.551204 0.783129
5.104177e-01 2.155153e-02 2.155153e-02 1.000000 0.191812 0.595156
5.363738e-01 2.155153e-02 2.155153e-02 1.000000 0.158095 0.373401
5.476202e-01 2.155153e-02 2.155153e-02 1.000000 0.540746 0.368776
2.636842e-01 2.155153e-02 2.155153e-02 1.000000 0.942759 0.256140
9.765370e-01 2.155153e-02 2.155153e-02 1.000000 0.512326 0.182326
4.351441e-01 2.155153e-02 2.155153e-02 1.000000 0.350647 0.016446
7.307620e-01 2.155153e-02 2.155153e-02 1.000000 0.063698 0.381209
9.949481e-01 2.155153e-02 2.155153e-02 1.000000 0.316397 0.165167
2.319065e-01 2.155153e-02 2.155153e-02 1.000000 0.990026 0.281895
4.039706e-02 2.155153e-02 2.155153e-02 1.000000 0.436937 0.150855
5.032235e-01 2.155153e-02 2.155153e-02 1.000000 0.482759 0.238091
5.173216e-01 2.155153e-02 2.155153e-02 1.000000 0.027648 0.224765
2.622953e-01 2.155153e-02 2.155153e-02 1.000000 0.895398 0.455764
2.897454e-01 2.155153e-02 2.155153e-02 1.000000 0.785675 0.083814
2.907339e-01 2.155153e-02 2.155153e-02 1.000000 0.009118 0.124293
9.384448e-01 2.155153e-02 2.155153e-02 1.000000 0.319832 0.413275
4.112049e-01 2.155153e-02 2.155153e-02 1.000000 0.409507 0.769371
3.918952e-02 2.155153e-02 2.155153e-02 1.000000 0.249617 0.153565
8.289203e-01 2.155153e-02 2.155153e-02 1.000000 0.425302 0.847846
8.773052e-01 2.155153e-02 2.155153e-02 1.000000 0.738128 0.317864
9.163530e-01 2.155153e-02 2.155153e-02 1.000000 0.533864 0.686586
5.352148e-01 2.155153e-02 2.155153e-02 1.000000 0.108570 0.154775
5.774056e-01 2.155153e-02 2.155153e-02 1.000000 0.993918 0.228026
6.887562e-01 2.155153e-02 2.155153e-02 1.000000 0.462621 0.761348
4.085381e-01 2.155153e-02 2.155153e-02 1.000000 0.314912 0.648208
5.488887e-01 2.155153e-02 2.155153e-02 1.000000 0.534756 0.588082
9.421233e-01 2.155153e-02 2.155153e-02 1.000000 0.755105 0.356055
6.220317e-01 2.155153e-02 2.155153e-02 1.000000 0.398674 0.395115
4.597343e-01 2.155153e-02 2.155153e-02 1.000000 0.494012 0.606423
5.438339e-01 2.155153e-02 2.155153e-02 1.000000 0.421127 0.754080
3.394766e-01 2.155153e-02 2.155153e-02 1.000000 0.459784 0.491082
3.670028e-01 2.155153e-02 2.155153e-02 1.000000 0.894082 0.106953
3.595504e-01 2.155153e-02 2.155153e-02 1.000000 0.686272 0.286315
5.082422e-01 2.155153e-02 2.155153e-02 1.000000 0.929181 0.532513
5.085107e-02 2.155153e-02 2.155153e-02 1.000000 0.731144 0.865280
3.734771e-01 2.155153e-02 2.155153e-02 1.000000 0.060330 0.880626
1.241119e-01 2.155153e-02 2.155153e-02 1.000000 0.529994 0.986104
5.647081e-01 2.155153e-02 2.155153e-02 1.000000 0.400671 0.505596
1.326307e-01 2.155153e-02 2.155153e-02 1.000000 0.159434 0.060436
3.278416e-01 2.155153e-02 2.155153e-02 1.000000 0.328509 0.850326
8.590029e-01 2.155153e-02 2.155153e-02 1.000000 0.977848 0.653184
7.310198e-01 2.155153e-02 2.155153e-02 1.000000 0.590468 0.644051
9.193065e-01 2.155153e-02 2.155153e-02 1.000000 0.641608 0.707240
5.062054e-01 2.155153e-02 2.155153e-02 1.000000 0.846402 0.054457
1.991936e-01 2.155153e-02 2.155153e-02 1.000000 0.200052 0.232672
3.760061e-01 2.155153e-02 2.155153e-02 1.000000 0.241967 0.254483
1.862099e-02 2.155153e-02 2.155153e-02 1.000000 0.401788 0.831950
9.536954e-01 2.155153e-02 2.155153e-02 1.000000 0.547034 0.382169
2.842601e-02 2.155153e-02 2.155153e-02 1.000000 0.292658 0.877675
3.565975e-01 2.155153e-02 2.155153e-02 1.000000 0.144730 0.682925
2.763038e-01 2.155153e-02 2.155153e-02 1.000000 0.252886 0.316870
6.884039e-01 2.155153e-02 2.155153e-02 1.000000 0.288010 0.185521
1.343098e-01 2.155153e-02 2.155153e-02 1.000000 0.585046 0.578439
2.737882e-01 2.155153e-02 2.155153e-02 1.000000 0.220732 0.421484
